Code,Parent Code,Full Code,Meaning,User Sort Order,Effective From Date,Effective To Date,Usage Guidelines,Notes,SortPolicyOrder
EL69,,EL69,Employers' Liability (Compulsory Insurance) Act 1969,,,,,,EL69
EN04,,EN04,Energy Act 2004,,,,,,EN04
EN95,,EN95,Environment Act 1995,,,,,,EN95
EO03,,EO03,Export of Objects of Cultural Interest (Control) Order 2003,,,,,,EO03
EP03,,EP03,Environmental Protection (Controls on Dangerous Substances) Regulations 2003,,,,,,EP03
EP07,,EP07,Environmental Permitting (England and Wales) Regulations 2007,,,,,,EP07
EP75,,EP75,Explosives Act 1875,,,,,,EP75
EP90,,EP90,Environmental Protection Act 1990,,,,,,EP90
EP99,,EP99,Environmental Protection (Restriction on use of lead shot) (England) Regulations 1999,,,,,,EP99
ER96,,ER96,Employment Rights Act 1996,,,,,,ER96
ES79,,ES79,Estate Agents Act 1979,,,,,,ES79
ES97,,ES97,Control of Trade in Endangered Species (Enforcement) Reg 1997,,,,,,ES97
ET73,,ET73,Employment and Training Act 1973,,,,,,ET73
EV03,,EV03,End-of-Life Vehicle Regulations 2003,,,,,,EV03
EW06,,EW06,Emergency Workers (Obstruction) Act 2006,,,,,,EW06
EX03,,EX03,"Export of Goods, Transfer of Technology and Provision of Technical Assistance (Control) Order 2003",,,,,,EX03
EX05,,EX05,Manufacture and Storage of Explosives Regulations 2005,,,,,,EX05
EX83,,EX83,Explosive Substances Act 1883,,,,,,EX83
EY78,,EY78,Employment Protection (Consolidation) Act 1978,,,,,,EY78
FA06,,FA06,Fraud Act 2006,,,,,,FA06
FA61,,FA61,Factories Act 1961,,,,,,FA61
FA88,,FA88,Firearms (Amendment) Act 1988,,,,,,FA88
FA97,,FA97,Firearms (Amendment) Act 1997,,,,,,FA97
FB89,,FB89,Football Spectators Act 1989,,,,,,FB89
FB93,,FB93,Fishing Boats (Marking and Documentation) (Enforcement) Order 1993,,,,,,FB93
FC81,,FC81,Forgery and Counterfeiting Act 1981,,,,,,FC81
FD71,,FD71,Friendly Societies Act 1971,,,,,,FD71
FE85,,FE85,Food and Environment Protection Act 1985,,,,,,FE85
FF00,,FF00,Fur Farming (Prohibition) Act 2000,,,,,,FF00
FF88,,FF88,Furniture and Furnishings (Fire) (Safety) Regulations 1988,,,,,,FF88
FG03,,FG03,Female Genital Mutilation Act 2003,,,,,,FG03
FG13,,FG13,Forgery Act 1913,,,,,,FG13
FH06,,FH06,Food Hygiene (England) Regulations 2006,,,,,,FH06
FH81,,FH81,Fisheries Act 1981,,,,,,FH81
FI00,,FI00,Freedom of Information Act 2000,,,,,,FI00
FI68,,FI68,Firearms Act 1968,,,,,,FI68
FL70,,FL70,Family Income Supplement Act 1970,,,,,,FL70
FL84,,FL84,Food Labelling Regulations 1984,,,,,,FL84
FL96,,FL96,Family Law Act 1996,,,,,,FL96
FM07,,FM07,Foot and Mouth Disease (Export Restrictions) Regulations 2007 (England),,,,,,FM07
FM95,,FM95,Fresh Meat (Hygiene and Inspection) Regulations 1995,,,,,,FM95
FN00,,FN00,Finance Act 2000,,,,,,FN00
FN03,,FN03,Finance Act 2003,,,,,,FN03
FN89,,FN89,Finance Act 1989,,,,,,FN89
FO91,,FO91,Football Offences Act 1991,,,,,,FO91
FP71,,FP71,Fire Precautions Act 1971,,,,,,FP71
FP91,,FP91,Food Premises (Registration) Regulations 1991,,,,,,FP91
FR03,,FR03,Fireworks Regulations 2003,,,,,,FR03
FR51,,FR51,Fraudulent Mediums Act 1951,,,,,,FR51
FR67,,FR67,Forestry Act 1967,,,,,,FR67
FR75,,FR75,Farriers (Registration) Act 1975,,,,,,FR75
